part,comment,stock,price
C2765186,TYPE-C16PIN2MD(073),795492,$0.0439
C42411119,3.3uH,6894,$0.1550
C2939726,SS12D07VG4087,96377,$0.0230
C209770,10kΩ,6199,$0.3059
C42411118,RP2350A_C42411118,7425,$1.0490
C965793,XL-1005UGC_C2856703,163562,$0.0045
C23140,33Ω,2421611,$0.0011
C15008,100uF,1440052,$0.0387
C25076,100Ω,3349780,$0.0005
C2999380,W25Q32JVUUIQ,13146,$2.4560
C25100,27Ω,29729,$0.0005
C1740,330nF,150844,$0.0096
C19666,4.7uF,6172746,$0.0059
C52923,1uF,8376144,$0.0026
C22435688,PJ-313D_C22435688,3312,$0.0408
C23186,5.1kΩ,3013644,$0.0010
C20625731,ABM8-272-T3_C20625731,12081,$0.1511
C48192,NSR0320MW2T1G,24644,$0.0500
C1525,100nF,24588874,$0.0008
C25756,15kΩ,2306147,$0.0005
C1644,15pF,2191799,$0.0039
C150742,AP7365-33WG-7,27084,$0.0877
C21190,1kΩ,25644297,$0.0011
C139767,SKHMQLE010,14294,$0.0729
C87038,B3FS-1002,5906,$0.0953
